"Step","Init=inherit; thres=0.0245; L1=1e-1; l_h=3; l_a=4 (366652_retrain_9883) - alpha val MAE","Init=inherit; thres=0.0245; L1=1e-1; l_h=3; l_a=4 (366652_retrain_9883) - alpha val MAE__MIN","Init=inherit; thres=0.0245; L1=1e-1; l_h=3; l_a=4 (366652_retrain_9883) - alpha val MAE__MAX","Init=rand; thres=0.0245; L1=1e-1; l_h=3; l_a=4 (366652_retrain_5871) - alpha val MAE","Init=rand; thres=0.0245; L1=1e-1; l_h=3; l_a=4 (366652_retrain_5871) - alpha val MAE__MIN","Init=rand; thres=0.0245; L1=1e-1; l_h=3; l_a=4 (366652_retrain_5871) - alpha val MAE__MAX"
"7","2.1029815673828125","2.1029815673828125","2.1029815673828125","2.5659306049346924","2.5659306049346924","2.5659306049346924"
"16","1.0800387859344482","1.0800387859344482","1.0800387859344482","2.247168779373169","2.247168779373169","2.247168779373169"
"25","0.510745644569397","0.510745644569397","0.510745644569397","2.1057894229888916","2.1057894229888916","2.1057894229888916"
"34","0.6413035988807678","0.6413035988807678","0.6413035988807678","1.9180092811584473","1.9180092811584473","1.9180092811584473"
"43","0.3856467008590698","0.3856467008590698","0.3856467008590698","0.7857349514961243","0.7857349514961243","0.7857349514961243"
"51","0.34479695558547974","0.34479695558547974","0.34479695558547974","0.5482615232467651","0.5482615232467651","0.5482615232467651"
"60","0.33637192845344543","0.33637192845344543","0.33637192845344543","0.6866466999053955","0.6866466999053955","0.6866466999053955"
"69","0.4495473802089691","0.4495473802089691","0.4495473802089691","1.7554798126220703","1.7554798126220703","1.7554798126220703"
"78","0.31288477778434753","0.31288477778434753","0.31288477778434753","0.4648697078227997","0.4648697078227997","0.4648697078227997"
"87","0.3139726221561432","0.3139726221561432","0.3139726221561432","0.3963509500026703","0.3963509500026703","0.3963509500026703"
"96","0.2951698899269104","0.2951698899269104","0.2951698899269104","0.39058005809783936","0.39058005809783936","0.39058005809783936"
"104","0.44785815477371216","0.44785815477371216","0.44785815477371216","0.3777000606060028","0.3777000606060028","0.3777000606060028"
"113","0.3083761930465698","0.3083761930465698","0.3083761930465698","0.5493347644805908","0.5493347644805908","0.5493347644805908"
"122","0.2558429539203644","0.2558429539203644","0.2558429539203644","0.2957462668418884","0.2957462668418884","0.2957462668418884"
"131","0.2701297402381897","0.2701297402381897","0.2701297402381897","0.2643512189388275","0.2643512189388275","0.2643512189388275"
"140","0.3541712164878845","0.3541712164878845","0.3541712164878845","0.3202362060546875","0.3202362060546875","0.3202362060546875"
"148","0.33076196908950806","0.33076196908950806","0.33076196908950806","0.3074207007884979","0.3074207007884979","0.3074207007884979"
"157","0.39922308921813965","0.39922308921813965","0.39922308921813965","0.25665831565856934","0.25665831565856934","0.25665831565856934"
"166","2.638916492462158","2.638916492462158","2.638916492462158","0.5683117508888245","0.5683117508888245","0.5683117508888245"
"175","0.2485484778881073","0.2485484778881073","0.2485484778881073","0.29919981956481934","0.29919981956481934","0.29919981956481934"
"184","0.2394217848777771","0.2394217848777771","0.2394217848777771","0.2779424786567688","0.2779424786567688","0.2779424786567688"
"193","0.20030057430267334","0.20030057430267334","0.20030057430267334","0.3129384517669678","0.3129384517669678","0.3129384517669678"
"201","0.2986471951007843","0.2986471951007843","0.2986471951007843","0.3449270725250244","0.3449270725250244","0.3449270725250244"
"210","0.25954094529151917","0.25954094529151917","0.25954094529151917","0.23423995077610016","0.23423995077610016","0.23423995077610016"
"219","0.26201489567756653","0.26201489567756653","0.26201489567756653","0.26633352041244507","0.26633352041244507","0.26633352041244507"
"228","0.27906495332717896","0.27906495332717896","0.27906495332717896","0.5199398398399353","0.5199398398399353","0.5199398398399353"
"237","0.20934869349002838","0.20934869349002838","0.20934869349002838","0.26497161388397217","0.26497161388397217","0.26497161388397217"
"245","0.2292592078447342","0.2292592078447342","0.2292592078447342","1.0093001127243042","1.0093001127243042","1.0093001127243042"
"254","0.1756712794303894","0.1756712794303894","0.1756712794303894","0.2993823289871216","0.2993823289871216","0.2993823289871216"
