"Step","Baseline: epoch=200; l_h=3; l_a=4 (300440) - alpha val MAE","Baseline: epoch=200; l_h=3; l_a=4 (300440) - alpha val MAE__MIN","Baseline: epoch=200; l_h=3; l_a=4 (300440) - alpha val MAE__MAX","Baseline: epoch=250 (150800) - alpha val MAE","Baseline: epoch=250 (150800) - alpha val MAE__MIN","Baseline: epoch=250 (150800) - alpha val MAE__MAX"
"7","2.0786643028259277","2.0786643028259277","2.0786643028259277","2.1517786979675293","2.1517786979675293","2.1517786979675293"
"16","1.1988500356674194","1.1988500356674194","1.1988500356674194","1.5243778228759766","1.5243778228759766","1.5243778228759766"
"25","0.6471911668777466","0.6471911668777466","0.6471911668777466","0.7770290970802307","0.7770290970802307","0.7770290970802307"
"34","0.6052483916282654","0.6052483916282654","0.6052483916282654","0.44372934103012085","0.44372934103012085","0.44372934103012085"
"43","1.7332273721694946","1.7332273721694946","1.7332273721694946","0.3577781617641449","0.3577781617641449","0.3577781617641449"
"51","0.40308794379234314","0.40308794379234314","0.40308794379234314","0.4647475779056549","0.4647475779056549","0.4647475779056549"
"60","0.34358811378479004","0.34358811378479004","0.34358811378479004","1.8915826082229614","1.8915826082229614","1.8915826082229614"
"69","1.4890249967575073","1.4890249967575073","1.4890249967575073","0.33948197960853577","0.33948197960853577","0.33948197960853577"
"78","0.2727974057197571","0.2727974057197571","0.2727974057197571","0.32995787262916565","0.32995787262916565","0.32995787262916565"
"87","0.30557379126548767","0.30557379126548767","0.30557379126548767","0.28080153465270996","0.28080153465270996","0.28080153465270996"
"96","0.4662657380104065","0.4662657380104065","0.4662657380104065","0.2796701490879059","0.2796701490879059","0.2796701490879059"
"104","0.2820890247821808","0.2820890247821808","0.2820890247821808","0.2732715904712677","0.2732715904712677","0.2732715904712677"
"113","1.1104243993759155","1.1104243993759155","1.1104243993759155","0.3886357545852661","0.3886357545852661","0.3886357545852661"
"122","0.417715847492218","0.417715847492218","0.417715847492218","0.26661217212677","0.26661217212677","0.26661217212677"
"131","0.22951702773571014","0.22951702773571014","0.22951702773571014","0.4295385181903839","0.4295385181903839","0.4295385181903839"
"140","0.25212574005126953","0.25212574005126953","0.25212574005126953","0.27791908383369446","0.27791908383369446","0.27791908383369446"
"148","0.31034693121910095","0.31034693121910095","0.31034693121910095","0.26848047971725464","0.26848047971725464","0.26848047971725464"
