"Step","L1=1e-1 (61219) - alpha train MAE","L1=1e-1 (61219) - alpha train MAE__MIN","L1=1e-1 (61219) - alpha train MAE__MAX","L1=5e-2 (92158) - alpha train MAE","L1=5e-2 (92158) - alpha train MAE__MIN","L1=5e-2 (92158) - alpha train MAE__MAX","L1=5e-3 (18950) - alpha train MAE","L1=5e-3 (18950) - alpha train MAE__MIN","L1=5e-3 (18950) - alpha train MAE__MAX","L1=1e-3 (33351) - alpha train MAE","L1=1e-3 (33351) - alpha train MAE__MIN","L1=1e-3 (33351) - alpha train MAE__MAX","L1=1e-5 (27371) - alpha train MAE","L1=1e-5 (27371) - alpha train MAE__MIN","L1=1e-5 (27371) - alpha train MAE__MAX","Baseline (33525) - alpha train MAE","Baseline (33525) - alpha train MAE__MIN","Baseline (33525) - alpha train MAE__MAX"
"11","2.0803756713867188","2.0803756713867188","2.0803756713867188","2.0742990970611572","2.0742990970611572","2.0742990970611572","2.1104769706726074","2.1104769706726074","2.1104769706726074","2.117743968963623","2.117743968963623","2.117743968963623","2.0304644107818604","2.0304644107818604","2.0304644107818604","2.1392362117767334","2.1392362117767334","2.1392362117767334"
"12","1.9255774021148682","1.9255774021148682","1.9255774021148682","2.1072123050689697","2.1072123050689697","2.1072123050689697","1.9631609916687012","1.9631609916687012","1.9631609916687012","1.9962488412857056","1.9962488412857056","1.9962488412857056","2.209254741668701","2.209254741668701","2.209254741668701","2.0670430660247803","2.0670430660247803","2.0670430660247803"
"13","2.1423964500427246","2.1423964500427246","2.1423964500427246","2.06123948097229","2.06123948097229","2.06123948097229","1.9685800075531006","1.9685800075531006","1.9685800075531006","2.0075459480285645","2.0075459480285645","2.0075459480285645","1.6897677183151245","1.6897677183151245","1.6897677183151245","1.9827184677124023","1.9827184677124023","1.9827184677124023"
"14","1.8975871801376343","1.8975871801376343","1.8975871801376343","1.7778774499893188","1.7778774499893188","1.7778774499893188","2.071934700012207","2.071934700012207","2.071934700012207","1.7877726554870605","1.7877726554870605","1.7877726554870605","1.315817952156067","1.315817952156067","1.315817952156067","1.6060307025909424","1.6060307025909424","1.6060307025909424"
"15","1.3648591041564941","1.3648591041564941","1.3648591041564941","1.4708718061447144","1.4708718061447144","1.4708718061447144","1.4356555938720703","1.4356555938720703","1.4356555938720703","1.5852957963943481","1.5852957963943481","1.5852957963943481","1.0245206356048584","1.0245206356048584","1.0245206356048584","1.3828489780426025","1.3828489780426025","1.3828489780426025"
"17","1.2729146480560303","1.2729146480560303","1.2729146480560303","1.201215386390686","1.201215386390686","1.201215386390686","1.2404142618179321","1.2404142618179321","1.2404142618179321","1.1390018463134766","1.1390018463134766","1.1390018463134766","1.0587257146835327","1.0587257146835327","1.0587257146835327","0.9173386693000793","0.9173386693000793","0.9173386693000793"
"18","1.1587309837341309","1.1587309837341309","1.1587309837341309","0.9486748576164246","0.9486748576164246","0.9486748576164246","0.8832931518554688","0.8832931518554688","0.8832931518554688","1.1378754377365112","1.1378754377365112","1.1378754377365112","0.7202355861663818","0.7202355861663818","0.7202355861663818","0.8704090118408203","0.8704090118408203","0.8704090118408203"
"19","0.9678183794021606","0.9678183794021606","0.9678183794021606","0.7134910225868225","0.7134910225868225","0.7134910225868225","0.911350429058075","0.911350429058075","0.911350429058075","0.8947679996490479","0.8947679996490479","0.8947679996490479","0.6444019675254822","0.6444019675254822","0.6444019675254822","0.6809090971946716","0.6809090971946716","0.6809090971946716"
"20","0.9322516918182373","0.9322516918182373","0.9322516918182373","0.6979396939277649","0.6979396939277649","0.6979396939277649","0.6513540744781494","0.6513540744781494","0.6513540744781494","0.696438729763031","0.696438729763031","0.696438729763031","0.9892944097518921","0.9892944097518921","0.9892944097518921","0.6323118805885315","0.6323118805885315","0.6323118805885315"
"21","0.6753070950508118","0.6753070950508118","0.6753070950508118","0.8721392154693604","0.8721392154693604","0.8721392154693604","1.0231670141220093","1.0231670141220093","1.0231670141220093","1.4668233394622803","1.4668233394622803","1.4668233394622803","0.7248432040214539","0.7248432040214539","0.7248432040214539","0.9309396147727966","0.9309396147727966","0.9309396147727966"
"22","0.7113906145095825","0.7113906145095825","0.7113906145095825","0.7063309550285339","0.7063309550285339","0.7063309550285339","0.7213797569274902","0.7213797569274902","0.7213797569274902","0.7579402923583984","0.7579402923583984","0.7579402923583984","0.7766899466514587","0.7766899466514587","0.7766899466514587","1.2839622497558594","1.2839622497558594","1.2839622497558594"
"23","0.6392387747764587","0.6392387747764587","0.6392387747764587","0.5287594199180603","0.5287594199180603","0.5287594199180603","0.6088557839393616","0.6088557839393616","0.6088557839393616","0.5784396529197693","0.5784396529197693","0.5784396529197693","0.6036462783813477","0.6036462783813477","0.6036462783813477","1.2104233503341675","1.2104233503341675","1.2104233503341675"
"24","0.9590117335319519","0.9590117335319519","0.9590117335319519","0.5143356323242188","0.5143356323242188","0.5143356323242188","0.5631722211837769","0.5631722211837769","0.5631722211837769","0.5053568482398987","0.5053568482398987","0.5053568482398987","0.49873846769332886","0.49873846769332886","0.49873846769332886","0.6072027087211609","0.6072027087211609","0.6072027087211609"
"26","0.9899662733078003","0.9899662733078003","0.9899662733078003","0.4954606592655182","0.4954606592655182","0.4954606592655182","0.5841647982597351","0.5841647982597351","0.5841647982597351","0.577438235282898","0.577438235282898","0.577438235282898","0.46415215730667114","0.46415215730667114","0.46415215730667114","0.7181396484375","0.7181396484375","0.7181396484375"
"27","1.701274037361145","1.701274037361145","1.701274037361145","0.7265334725379944","0.7265334725379944","0.7265334725379944","0.5141835808753967","0.5141835808753967","0.5141835808753967","0.49483442306518555","0.49483442306518555","0.49483442306518555","0.49690401554107666","0.49690401554107666","0.49690401554107666","0.47058868408203125","0.47058868408203125","0.47058868408203125"
"28","1.4405491352081299","1.4405491352081299","1.4405491352081299","0.43258407711982727","0.43258407711982727","0.43258407711982727","0.6573910117149353","0.6573910117149353","0.6573910117149353","0.484689325094223","0.484689325094223","0.484689325094223","0.43728166818618774","0.43728166818618774","0.43728166818618774","0.47911781072616577","0.47911781072616577","0.47911781072616577"
"29","0.8451611995697021","0.8451611995697021","0.8451611995697021","0.4539232850074768","0.4539232850074768","0.4539232850074768","0.5098575353622437","0.5098575353622437","0.5098575353622437","0.4667493402957916","0.4667493402957916","0.4667493402957916","0.40581634640693665","0.40581634640693665","0.40581634640693665","0.4480218291282654","0.4480218291282654","0.4480218291282654"
"30","0.6626855134963989","0.6626855134963989","0.6626855134963989","0.49136099219322205","0.49136099219322205","0.49136099219322205","0.825067937374115","0.825067937374115","0.825067937374115","0.6380695700645447","0.6380695700645447","0.6380695700645447","0.5504711270332336","0.5504711270332336","0.5504711270332336","0.43373388051986694","0.43373388051986694","0.43373388051986694"
"31","0.5991837382316589","0.5991837382316589","0.5991837382316589","0.5554301142692566","0.5554301142692566","0.5554301142692566","1.4434748888015747","1.4434748888015747","1.4434748888015747","0.42457976937294006","0.42457976937294006","0.42457976937294006","0.5153687000274658","0.5153687000274658","0.5153687000274658","0.4210619330406189","0.4210619330406189","0.4210619330406189"
"32","0.47171103954315186","0.47171103954315186","0.47171103954315186","0.4762054979801178","0.4762054979801178","0.4762054979801178","0.5366312861442566","0.5366312861442566","0.5366312861442566","0.4041893184185028","0.4041893184185028","0.4041893184185028","0.45443129539489746","0.45443129539489746","0.45443129539489746","0.42280837893486023","0.42280837893486023","0.42280837893486023"
"33","0.4957827925682068","0.4957827925682068","0.4957827925682068","0.7347756624221802","0.7347756624221802","0.7347756624221802","0.5430498123168945","0.5430498123168945","0.5430498123168945","0.8100196719169617","0.8100196719169617","0.8100196719169617","0.4333091676235199","0.4333091676235199","0.4333091676235199","0.43819621205329895","0.43819621205329895","0.43819621205329895"
"35","0.4859831929206848","0.4859831929206848","0.4859831929206848","0.7783483266830444","0.7783483266830444","0.7783483266830444","0.4102529287338257","0.4102529287338257","0.4102529287338257","0.509387731552124","0.509387731552124","0.509387731552124","0.7193044424057007","0.7193044424057007","0.7193044424057007","0.48035308718681335","0.48035308718681335","0.48035308718681335"
"36","0.4474554657936096","0.4474554657936096","0.4474554657936096","0.3991481363773346","0.3991481363773346","0.3991481363773346","0.4212046265602112","0.4212046265602112","0.4212046265602112","0.5723883509635925","0.5723883509635925","0.5723883509635925","0.47707298398017883","0.47707298398017883","0.47707298398017883","1.7131133079528809","1.7131133079528809","1.7131133079528809"
"37","0.9747006893157959","0.9747006893157959","0.9747006893157959","0.7871031761169434","0.7871031761169434","0.7871031761169434","0.46268948912620544","0.46268948912620544","0.46268948912620544","0.5816823244094849","0.5816823244094849","0.5816823244094849","0.40850284695625305","0.40850284695625305","0.40850284695625305","0.9182147979736328","0.9182147979736328","0.9182147979736328"
"38","1.3626676797866821","1.3626676797866821","1.3626676797866821","0.6935688853263855","0.6935688853263855","0.6935688853263855","0.41032713651657104","0.41032713651657104","0.41032713651657104","0.38016796112060547","0.38016796112060547","0.38016796112060547","0.5229361057281494","0.5229361057281494","0.5229361057281494","0.5868358016014099","0.5868358016014099","0.5868358016014099"
"39","0.6964163780212402","0.6964163780212402","0.6964163780212402","0.38122260570526123","0.38122260570526123","0.38122260570526123","0.4663442075252533","0.4663442075252533","0.4663442075252533","0.6947211027145386","0.6947211027145386","0.6947211027145386","0.4097350239753723","0.4097350239753723","0.4097350239753723","0.49671754240989685","0.49671754240989685","0.49671754240989685"
"40","0.5086457133293152","0.5086457133293152","0.5086457133293152","0.3698086440563202","0.3698086440563202","0.3698086440563202","0.5678021311759949","0.5678021311759949","0.5678021311759949","0.42738792300224304","0.42738792300224304","0.42738792300224304","1.4346013069152832","1.4346013069152832","1.4346013069152832","0.40259894728660583","0.40259894728660583","0.40259894728660583"
"41","0.4882931709289551","0.4882931709289551","0.4882931709289551","0.3946351408958435","0.3946351408958435","0.3946351408958435","0.7518956661224365","0.7518956661224365","0.7518956661224365","0.6672338247299194","0.6672338247299194","0.6672338247299194","0.6162286400794983","0.6162286400794983","0.6162286400794983","0.4012557864189148","0.4012557864189148","0.4012557864189148"
"42","0.44582992792129517","0.44582992792129517","0.44582992792129517","0.3942120373249054","0.3942120373249054","0.3942120373249054","0.8836910724639893","0.8836910724639893","0.8836910724639893","0.41447943449020386","0.41447943449020386","0.41447943449020386","0.45466411113739014","0.45466411113739014","0.45466411113739014","0.35035979747772217","0.35035979747772217","0.35035979747772217"
"44","0.4531451463699341","0.4531451463699341","0.4531451463699341","0.41841766238212585","0.41841766238212585","0.41841766238212585","0.6050646305084229","0.6050646305084229","0.6050646305084229","0.4019882082939148","0.4019882082939148","0.4019882082939148","0.46123069524765015","0.46123069524765015","0.46123069524765015","2.032956838607788","2.032956838607788","2.032956838607788"
"45","0.3900807499885559","0.3900807499885559","0.3900807499885559","0.6824943423271179","0.6824943423271179","0.6824943423271179","0.38081565499305725","0.38081565499305725","0.38081565499305725","0.34734058380126953","0.34734058380126953","0.34734058380126953","0.37894207239151","0.37894207239151","0.37894207239151","1.795103907585144","1.795103907585144","1.795103907585144"
"46","0.39533674716949463","0.39533674716949463","0.39533674716949463","0.5268463492393494","0.5268463492393494","0.5268463492393494","0.36611583828926086","0.36611583828926086","0.36611583828926086","0.899798572063446","0.899798572063446","0.899798572063446","0.3595632016658783","0.3595632016658783","0.3595632016658783","1.487186074256897","1.487186074256897","1.487186074256897"
"47","0.4536610245704651","0.4536610245704651","0.4536610245704651","0.3658314049243927","0.3658314049243927","0.3658314049243927","0.5285784006118774","0.5285784006118774","0.5285784006118774","0.4198850095272064","0.4198850095272064","0.4198850095272064","0.366243839263916","0.366243839263916","0.366243839263916","0.7743692398071289","0.7743692398071289","0.7743692398071289"
"48","0.6075502038002014","0.6075502038002014","0.6075502038002014","0.3573702275753021","0.3573702275753021","0.3573702275753021","0.47706276178359985","0.47706276178359985","0.47706276178359985","0.40368136763572693","0.40368136763572693","0.40368136763572693","0.383309006690979","0.383309006690979","0.383309006690979","0.5002204179763794","0.5002204179763794","0.5002204179763794"
"49","0.45529747009277344","0.45529747009277344","0.45529747009277344","0.3723064661026001","0.3723064661026001","0.3723064661026001","0.8709396123886108","0.8709396123886108","0.8709396123886108","0.40020042657852173","0.40020042657852173","0.40020042657852173","0.36672544479370117","0.36672544479370117","0.36672544479370117","0.44489070773124695","0.44489070773124695","0.44489070773124695"
"50","0.375923216342926","0.375923216342926","0.375923216342926","0.3396912217140198","0.3396912217140198","0.3396912217140198","0.43770572543144226","0.43770572543144226","0.43770572543144226","0.48691055178642273","0.48691055178642273","0.48691055178642273","0.3324196934700012","0.3324196934700012","0.3324196934700012","0.4098420739173889","0.4098420739173889","0.4098420739173889"
"52","0.43212074041366577","0.43212074041366577","0.43212074041366577","0.3166278302669525","0.3166278302669525","0.3166278302669525","0.3473644256591797","0.3473644256591797","0.3473644256591797","0.4064246714115143","0.4064246714115143","0.4064246714115143","1.1369271278381348","1.1369271278381348","1.1369271278381348","0.4249582290649414","0.4249582290649414","0.4249582290649414"
"53","0.3792201280593872","0.3792201280593872","0.3792201280593872","0.3319213092327118","0.3319213092327118","0.3319213092327118","0.4687035381793976","0.4687035381793976","0.4687035381793976","0.333628386259079","0.333628386259079","0.333628386259079","1.5379325151443481","1.5379325151443481","1.5379325151443481","0.389290988445282","0.389290988445282","0.389290988445282"
"54","0.45640072226524353","0.45640072226524353","0.45640072226524353","0.39936843514442444","0.39936843514442444","0.39936843514442444","0.4268627166748047","0.4268627166748047","0.4268627166748047","0.33768031001091003","0.33768031001091003","0.33768031001091003","0.515425443649292","0.515425443649292","0.515425443649292","0.37889087200164795","0.37889087200164795","0.37889087200164795"
"55","0.42238107323646545","0.42238107323646545","0.42238107323646545","0.3336701989173889","0.3336701989173889","0.3336701989173889","0.3509594202041626","0.3509594202041626","0.3509594202041626","0.5385163426399231","0.5385163426399231","0.5385163426399231","0.3880530893802643","0.3880530893802643","0.3880530893802643","0.4620418846607208","0.4620418846607208","0.4620418846607208"
"56","0.5606150031089783","0.5606150031089783","0.5606150031089783","0.6619696617126465","0.6619696617126465","0.6619696617126465","0.3261549770832062","0.3261549770832062","0.3261549770832062","0.44234687089920044","0.44234687089920044","0.44234687089920044","0.38845476508140564","0.38845476508140564","0.38845476508140564","0.5734804272651672","0.5734804272651672","0.5734804272651672"
"57","0.372637003660202","0.372637003660202","0.372637003660202","0.7716740965843201","0.7716740965843201","0.7716740965843201","0.5318375825881958","0.5318375825881958","0.5318375825881958","0.3342211842536926","0.3342211842536926","0.3342211842536926","0.3918735384941101","0.3918735384941101","0.3918735384941101","1.0117261409759521","1.0117261409759521","1.0117261409759521"
"58","0.7562326788902283","0.7562326788902283","0.7562326788902283","0.34716489911079407","0.34716489911079407","0.34716489911079407","0.4365014135837555","0.4365014135837555","0.4365014135837555","0.3292991518974304","0.3292991518974304","0.3292991518974304","0.33726486563682556","0.33726486563682556","0.33726486563682556","0.48229438066482544","0.48229438066482544","0.48229438066482544"
"59","1.3951927423477173","1.3951927423477173","1.3951927423477173","0.3207300007343292","0.3207300007343292","0.3207300007343292","0.3851306736469269","0.3851306736469269","0.3851306736469269","0.3159899115562439","0.3159899115562439","0.3159899115562439","0.3478409945964813","0.3478409945964813","0.3478409945964813","0.40490245819091797","0.40490245819091797","0.40490245819091797"
"61","0.44845834374427795","0.44845834374427795","0.44845834374427795","0.3844522535800934","0.3844522535800934","0.3844522535800934","0.3749898672103882","0.3749898672103882","0.3749898672103882","0.5803570747375488","0.5803570747375488","0.5803570747375488","0.4699942469596863","0.4699942469596863","0.4699942469596863","0.49152320623397827","0.49152320623397827","0.49152320623397827"
"62","0.39367446303367615","0.39367446303367615","0.39367446303367615","0.32887908816337585","0.32887908816337585","0.32887908816337585","0.42767560482025146","0.42767560482025146","0.42767560482025146","0.46932199597358704","0.46932199597358704","0.46932199597358704","0.318972110748291","0.318972110748291","0.318972110748291","0.35629573464393616","0.35629573464393616","0.35629573464393616"
"63","0.33353540301322937","0.33353540301322937","0.33353540301322937","0.3077506721019745","0.3077506721019745","0.3077506721019745","0.5329751968383789","0.5329751968383789","0.5329751968383789","0.36872607469558716","0.36872607469558716","0.36872607469558716","0.30957451462745667","0.30957451462745667","0.30957451462745667","0.3596186339855194","0.3596186339855194","0.3596186339855194"
"64","0.34537410736083984","0.34537410736083984","0.34537410736083984","0.40644171833992004","0.40644171833992004","0.40644171833992004","0.39209601283073425","0.39209601283073425","0.39209601283073425","0.49368521571159363","0.49368521571159363","0.49368521571159363","0.3312826156616211","0.3312826156616211","0.3312826156616211","0.32391753792762756","0.32391753792762756","0.32391753792762756"
"65","0.33557045459747314","0.33557045459747314","0.33557045459747314","0.30931419134140015","0.30931419134140015","0.30931419134140015","0.33092573285102844","0.33092573285102844","0.33092573285102844","0.40112411975860596","0.40112411975860596","0.40112411975860596","0.6582748889923096","0.6582748889923096","0.6582748889923096","0.33202365040779114","0.33202365040779114","0.33202365040779114"
"66","0.3316492438316345","0.3316492438316345","0.3316492438316345","0.9098985195159912","0.9098985195159912","0.9098985195159912","0.4128223955631256","0.4128223955631256","0.4128223955631256","0.9469488263130188","0.9469488263130188","0.9469488263130188","1.1235681772232056","1.1235681772232056","1.1235681772232056","0.3088322877883911","0.3088322877883911","0.3088322877883911"
"67","0.3361465632915497","0.3361465632915497","0.3361465632915497","0.3464740812778473","0.3464740812778473","0.3464740812778473","0.4403146207332611","0.4403146207332611","0.4403146207332611","0.4837562143802643","0.4837562143802643","0.4837562143802643","0.6340007185935974","0.6340007185935974","0.6340007185935974","0.3025757670402527","0.3025757670402527","0.3025757670402527"
"68","0.5647854804992676","0.5647854804992676","0.5647854804992676","0.2831326127052307","0.2831326127052307","0.2831326127052307","0.310361385345459","0.310361385345459","0.310361385345459","0.4354109466075897","0.4354109466075897","0.4354109466075897","0.31976383924484253","0.31976383924484253","0.31976383924484253","0.303554505109787","0.303554505109787","0.303554505109787"
"70","0.8660247325897217","0.8660247325897217","0.8660247325897217","0.2789376378059387","0.2789376378059387","0.2789376378059387","0.3615514934062958","0.3615514934062958","0.3615514934062958","0.2860364615917206","0.2860364615917206","0.2860364615917206","0.3457457423210144","0.3457457423210144","0.3457457423210144","0.9933627247810364","0.9933627247810364","0.9933627247810364"
"71","0.4532180726528168","0.4532180726528168","0.4532180726528168","0.32352983951568604","0.32352983951568604","0.32352983951568604","0.29247209429740906","0.29247209429740906","0.29247209429740906","0.2841976284980774","0.2841976284980774","0.2841976284980774","0.32831892371177673","0.32831892371177673","0.32831892371177673","0.7727189660072327","0.7727189660072327","0.7727189660072327"
"72","0.3338069021701813","0.3338069021701813","0.3338069021701813","0.3529222309589386","0.3529222309589386","0.3529222309589386","0.2890315651893616","0.2890315651893616","0.2890315651893616","0.38934576511383057","0.38934576511383057","0.38934576511383057","0.27392494678497314","0.27392494678497314","0.27392494678497314","0.3847067952156067","0.3847067952156067","0.3847067952156067"
"73","0.31518304347991943","0.31518304347991943","0.31518304347991943","0.4219544529914856","0.4219544529914856","0.4219544529914856","0.28835368156433105","0.28835368156433105","0.28835368156433105","0.2999277412891388","0.2999277412891388","0.2999277412891388","0.2992442548274994","0.2992442548274994","0.2992442548274994","0.3363170921802521","0.3363170921802521","0.3363170921802521"
"74","0.31953755021095276","0.31953755021095276","0.31953755021095276","0.36546286940574646","0.36546286940574646","0.36546286940574646","1.6950340270996094","1.6950340270996094","1.6950340270996094","0.28793054819107056","0.28793054819107056","0.28793054819107056","0.3925405740737915","0.3925405740737915","0.3925405740737915","0.6323904991149902","0.6323904991149902","0.6323904991149902"
"75","0.3294937312602997","0.3294937312602997","0.3294937312602997","0.5470637083053589","0.5470637083053589","0.5470637083053589","1.7707557678222656","1.7707557678222656","1.7707557678222656","0.3170495331287384","0.3170495331287384","0.3170495331287384","0.5740390419960022","0.5740390419960022","0.5740390419960022","0.4188111424446106","0.4188111424446106","0.4188111424446106"
"76","0.33598655462265015","0.33598655462265015","0.33598655462265015","0.37551093101501465","0.37551093101501465","0.37551093101501465","0.8430567979812622","0.8430567979812622","0.8430567979812622","0.2937466502189636","0.2937466502189636","0.2937466502189636","0.31377363204956055","0.31377363204956055","0.31377363204956055","0.41774535179138184","0.41774535179138184","0.41774535179138184"
"77","0.5603933930397034","0.5603933930397034","0.5603933930397034","0.5909625887870789","0.5909625887870789","0.5909625887870789","0.49641191959381104","0.49641191959381104","0.49641191959381104","0.27976176142692566","0.27976176142692566","0.27976176142692566","0.3446933627128601","0.3446933627128601","0.3446933627128601","0.2883734703063965","0.2883734703063965","0.2883734703063965"
"79","0.9045175909996033","0.9045175909996033","0.9045175909996033","0.3072255253791809","0.3072255253791809","0.3072255253791809","0.41172340512275696","0.41172340512275696","0.41172340512275696","0.7630806565284729","0.7630806565284729","0.7630806565284729","0.35840168595314026","0.35840168595314026","0.35840168595314026","0.28574052453041077","0.28574052453041077","0.28574052453041077"
"80","0.7747963666915894","0.7747963666915894","0.7747963666915894","0.2861340343952179","0.2861340343952179","0.2861340343952179","0.4309658706188202","0.4309658706188202","0.4309658706188202","0.3474806249141693","0.3474806249141693","0.3474806249141693","0.30302271246910095","0.30302271246910095","0.30302271246910095","0.3011004626750946","0.3011004626750946","0.3011004626750946"
"81","0.4228968620300293","0.4228968620300293","0.4228968620300293","0.27939358353614807","0.27939358353614807","0.27939358353614807","0.34096136689186096","0.34096136689186096","0.34096136689186096","0.3151957392692566","0.3151957392692566","0.3151957392692566","0.26573628187179565","0.26573628187179565","0.26573628187179565","0.32297927141189575","0.32297927141189575","0.32297927141189575"
"82","0.4194567799568176","0.4194567799568176","0.4194567799568176","0.2711693048477173","0.2711693048477173","0.2711693048477173","0.3327218294143677","0.3327218294143677","0.3327218294143677","0.3497299551963806","0.3497299551963806","0.3497299551963806","0.454162061214447","0.454162061214447","0.454162061214447","0.3340824544429779","0.3340824544429779","0.3340824544429779"
"83","0.3381699323654175","0.3381699323654175","0.3381699323654175","0.2583845853805542","0.2583845853805542","0.2583845853805542","0.30752453207969666","0.30752453207969666","0.30752453207969666","0.337240606546402","0.337240606546402","0.337240606546402","0.8221386671066284","0.8221386671066284","0.8221386671066284","0.6271079778671265","0.6271079778671265","0.6271079778671265"
"84","0.3044166564941406","0.3044166564941406","0.3044166564941406","0.2891566753387451","0.2891566753387451","0.2891566753387451","0.3020714819431305","0.3020714819431305","0.3020714819431305","0.38323885202407837","0.38323885202407837","0.38323885202407837","0.9606196880340576","0.9606196880340576","0.9606196880340576","0.39913490414619446","0.39913490414619446","0.39913490414619446"
"85","0.37833818793296814","0.37833818793296814","0.37833818793296814","0.2593158185482025","0.2593158185482025","0.2593158185482025","0.29747408628463745","0.29747408628463745","0.29747408628463745","0.27029162645339966","0.27029162645339966","0.27029162645339966","0.7930379509925842","0.7930379509925842","0.7930379509925842","0.46689364314079285","0.46689364314079285","0.46689364314079285"
"86","0.3422059118747711","0.3422059118747711","0.3422059118747711","0.2659149169921875","0.2659149169921875","0.2659149169921875","0.28055617213249207","0.28055617213249207","0.28055617213249207","0.2905793786048889","0.2905793786048889","0.2905793786048889","0.5148792266845703","0.5148792266845703","0.5148792266845703","0.5938817858695984","0.5938817858695984","0.5938817858695984"
"88","0.8880068063735962","0.8880068063735962","0.8880068063735962","0.5618464350700378","0.5618464350700378","0.5618464350700378","0.27462923526763916","0.27462923526763916","0.27462923526763916","0.26251232624053955","0.26251232624053955","0.26251232624053955","0.2892175018787384","0.2892175018787384","0.2892175018787384","0.659488320350647","0.659488320350647","0.659488320350647"
"89","0.33150213956832886","0.33150213956832886","0.33150213956832886","0.37847986817359924","0.37847986817359924","0.37847986817359924","0.2758151888847351","0.2758151888847351","0.2758151888847351","0.25432753562927246","0.25432753562927246","0.25432753562927246","0.25828084349632263","0.25828084349632263","0.25828084349632263","0.30818110704421997","0.30818110704421997","0.30818110704421997"
